JobID|JobName|State|ExitCode|Start|End|Elapsed|AllocTRES|MaxRSS|TotalCPU
190|miles-terminal-lego|RUNNING|0:0|2026-09-03T21:57:12|Unknown|00:14:34|billing=1024,cpu=1024,gres/gpu=32,mem=12336349M,node=4||10:08.167
190.batch|batch|RUNNING|0:0|2026-09-03T21:57:12|Unknown|00:14:34|cpu=256,gres/gpu=8,mem=3084090M,node=1||00:00:00
190.0|python3|COMPLETED|0:0|2026-09-03T21:57:13|2026-09-03T21:57:18|00:00:05|cpu=1024,gres/gpu=32,mem=12336349M,node=4|58024K|00:15.226
190.1|python3|CANCELLED by 0|0:9|2026-09-03T21:57:18|2026-09-03T22:11:41|00:14:23|cpu=1024,gres/gpu=32,mem=12336349M,node=4|48180K|08:18.385
190.2|docker|COMPLETED|0:0|2026-09-03T21:57:18|2026-09-03T21:57:19|00:00:01|cpu=8,gres/gpu=8,mem=3084091M,node=1|13160K|00:00.037
190.3|docker|COMPLETED|0:0|2026-09-03T21:57:19|2026-09-03T21:57:20|00:00:01|cpu=8,gres/gpu=8,mem=3084091M,node=1|13708K|00:00.032
190.4|docker|COMPLETED|0:0|2026-09-03T21:57:20|2026-09-03T21:57:20|00:00:00|cpu=8,gres/gpu=8,mem=3084084M,node=1|13212K|00:00.029
190.5|docker|COMPLETED|0:0|2026-09-03T21:57:20|2026-09-03T21:57:21|00:00:01|cpu=8,gres/gpu=8,mem=3084084M,node=1|14136K|00:00.034
190.6|docker|COMPLETED|0:0|2026-09-03T21:57:21|2026-09-03T21:57:22|00:00:01|cpu=8,gres/gpu=8,mem=3084090M,node=1|13516K|00:00.033
190.7|docker|COMPLETED|0:0|2026-09-03T21:57:22|2026-09-03T21:57:22|00:00:00|cpu=8,gres/gpu=8,mem=3084090M,node=1|11628K|00:00.024
190.8|docker|COMPLETED|0:0|2026-09-03T21:57:22|2026-09-03T21:57:23|00:00:01|cpu=8,gres/gpu=8,mem=3084084M,node=1|12992K|00:00.033
190.9|docker|COMPLETED|0:0|2026-09-03T21:57:23|2026-09-03T21:57:23|00:00:00|cpu=8,gres/gpu=8,mem=3084084M,node=1|13768K|00:00.029
190.10|docker|COMPLETED|0:0|2026-09-03T21:57:23|2026-09-03T21:57:42|00:00:19|cpu=8,gres/gpu=8,mem=3084091M,node=1|12576K|00:00.028
190.11|docker|COMPLETED|0:0|2026-09-03T21:57:42|2026-09-03T21:58:10|00:00:28|cpu=8,gres/gpu=8,mem=3084091M,node=1|13568K|00:00.045
190.12|env|CANCELLED by 0|0:9|2026-09-03T21:58:10|2026-09-03T22:11:41|00:13:31|cpu=8,gres/gpu=8,mem=3084084M,node=1|1222612K|01:18.308
190.13|docker|COMPLETED|0:0|2026-09-03T21:58:21|2026-09-03T21:58:26|00:00:05|cpu=8,gres/gpu=8,mem=3084091M,node=1|13488K|00:00.032
190.14|docker|COMPLETED|0:0|2026-09-03T21:58:26|2026-09-03T21:58:29|00:00:03|cpu=8,gres/gpu=8,mem=3084084M,node=1|13348K|00:00.034
190.15|docker|COMPLETED|0:0|2026-09-03T21:58:29|2026-09-03T21:58:33|00:00:04|cpu=8,gres/gpu=8,mem=3084090M,node=1|13328K|00:00.030
190.16|docker|COMPLETED|0:0|2026-09-03T21:58:33|2026-09-03T21:58:36|00:00:03|cpu=8,gres/gpu=8,mem=3084084M,node=1|12852K|00:00.030
190.17|docker|COMPLETED|0:0|2026-09-03T21:58:36|2026-09-03T21:58:38|00:00:02|cpu=8,gres/gpu=8,mem=3084091M,node=1|13084K|00:00.027
190.18|docker|COMPLETED|0:0|2026-09-03T21:58:38|2026-09-03T22:10:04|00:11:26|cpu=8,gres/gpu=8,mem=3084091M,node=1|15520K|00:00.158
190.19|docker|COMPLETED|0:0|2026-09-03T22:10:04|2026-09-03T22:10:10|00:00:06|cpu=8,gres/gpu=8,mem=3084091M,node=1|13304K|00:00.028
190.20|docker|COMPLETED|0:0|2026-09-03T22:10:10|2026-09-03T22:10:18|00:00:08|cpu=8,gres/gpu=8,mem=3084091M,node=1|13188K|00:00.032
190.21|docker|COMPLETED|0:0|2026-09-03T22:10:18|2026-09-03T22:10:41|00:00:23|cpu=8,gres/gpu=8,mem=3084084M,node=1|13268K|00:00.027
190.22|docker|COMPLETED|0:0|2026-09-03T22:10:41|2026-09-03T22:10:46|00:00:05|cpu=8,gres/gpu=8,mem=3084084M,node=1|10780K|00:00.022
190.23|docker|COMPLETED|0:0|2026-09-03T22:10:46|2026-09-03T22:11:08|00:00:22|cpu=8,gres/gpu=8,mem=3084090M,node=1|13184K|00:00.029
190.24|docker|COMPLETED|0:0|2026-09-03T22:11:08|2026-09-03T22:11:13|00:00:05|cpu=8,gres/gpu=8,mem=3084090M,node=1|11024K|00:00.019
190.25|docker|COMPLETED|0:0|2026-09-03T22:11:13|2026-09-03T22:11:35|00:00:22|cpu=8,gres/gpu=8,mem=3084084M,node=1|13980K|00:00.036
190.26|docker|COMPLETED|0:0|2026-09-03T22:11:35|2026-09-03T22:11:40|00:00:05|cpu=8,gres/gpu=8,mem=3084084M,node=1|13168K|00:00.029
190.27|python3|COMPLETED|0:0|2026-09-03T22:11:41|2026-09-03T22:11:46|00:00:05|cpu=1024,gres/gpu=32,mem=12336349M,node=4|56352K|00:15.375
