JobID|JobName|State|ExitCode|Start|End|Elapsed|AllocTRES|MaxRSS|TotalCPU
196|miles-ppo-terminal-lego|RUNNING|0:0|2026-09-04T00:55:37|Unknown|00:18:21|billing=1024,cpu=1024,gres/gpu=32,mem=12336349M,node=4||26:08.406
196.batch|batch|RUNNING|0:0|2026-09-04T00:55:37|Unknown|00:18:21|cpu=256,gres/gpu=8,mem=3084090M,node=1||00:00:00
196.0|python3|COMPLETED|0:0|2026-09-04T00:55:38|2026-09-04T00:55:43|00:00:05|cpu=1024,gres/gpu=32,mem=12336349M,node=4|60336K|00:15.138
196.1|python3|CANCELLED by 0|0:9|2026-09-04T00:55:43|2026-09-04T01:13:52|00:18:09|cpu=1024,gres/gpu=32,mem=12336349M,node=4|51136K|12:46.212
196.2|python3|CANCELLED by 0|0:9|2026-09-04T00:55:43|2026-09-04T01:13:53|00:18:10|cpu=1024,gres/gpu=32,mem=12336349M,node=4|27484K|06:30.767
196.3|docker|COMPLETED|0:0|2026-09-04T00:55:43|2026-09-04T00:55:44|00:00:01|cpu=8,gres/gpu=8,mem=3084091M,node=1|13600K|00:00.032
196.4|docker|COMPLETED|0:0|2026-09-04T00:55:44|2026-09-04T00:55:44|00:00:00|cpu=8,gres/gpu=8,mem=3084091M,node=1|13380K|00:00.029
196.5|docker|COMPLETED|0:0|2026-09-04T00:55:44|2026-09-04T00:55:45|00:00:01|cpu=8,gres/gpu=8,mem=3084084M,node=1|13624K|00:00.039
196.6|docker|COMPLETED|0:0|2026-09-04T00:55:45|2026-09-04T00:55:45|00:00:00|cpu=8,gres/gpu=8,mem=3084084M,node=1|14076K|00:00.033
196.7|docker|COMPLETED|0:0|2026-09-04T00:55:45|2026-09-04T00:55:46|00:00:01|cpu=8,gres/gpu=8,mem=3084090M,node=1|13072K|00:00.033
196.8|docker|COMPLETED|0:0|2026-09-04T00:55:46|2026-09-04T00:55:46|00:00:00|cpu=8,gres/gpu=8,mem=3084090M,node=1|13264K|00:00.029
196.9|docker|COMPLETED|0:0|2026-09-04T00:55:46|2026-09-04T00:55:47|00:00:01|cpu=8,gres/gpu=8,mem=3084084M,node=1|13124K|00:00.035
196.10|docker|COMPLETED|0:0|2026-09-04T00:55:47|2026-09-04T00:55:47|00:00:00|cpu=8,gres/gpu=8,mem=3084084M,node=1|13396K|00:00.028
196.11|docker|COMPLETED|0:0|2026-09-04T00:55:47|2026-09-04T00:56:08|00:00:21|cpu=8,gres/gpu=8,mem=3084091M,node=1|13400K|00:00.036
196.12|docker|COMPLETED|0:0|2026-09-04T00:56:08|2026-09-04T00:56:08|00:00:00|cpu=8,gres/gpu=8,mem=3084091M,node=1|13576K|00:00.031
196.13|docker|COMPLETED|0:0|2026-09-04T00:56:08|2026-09-04T00:56:37|00:00:29|cpu=8,gres/gpu=8,mem=3084091M,node=1|13892K|00:00.039
196.14|docker|COMPLETED|0:0|2026-09-04T00:56:37|2026-09-04T00:57:13|00:00:36|cpu=8,gres/gpu=8,mem=3084091M,node=1|13568K|00:00.036
196.15|env|COMPLETED|0:0|2026-09-04T00:57:13|2026-09-04T00:57:20|00:00:07|cpu=8,gres/gpu=8,mem=3084084M,node=1|483720K|00:10.276
196.16|env|CANCELLED by 0|0:9|2026-09-04T00:57:20|2026-09-04T01:13:51|00:16:31|cpu=8,gres/gpu=8,mem=3084084M,node=1|1033228K|00:52.225
196.17|python3|CANCELLED by 0|0:9|2026-09-04T00:57:26|2026-09-04T01:13:52|00:16:26|cpu=1024,gres/gpu=32,mem=12336349M,node=4|21268K|05:17.741
196.18|docker|COMPLETED|0:0|2026-09-04T00:57:26|2026-09-04T00:57:31|00:00:05|cpu=8,gres/gpu=8,mem=3084091M,node=1|13704K|00:00.031
196.19|docker|COMPLETED|0:0|2026-09-04T00:57:31|2026-09-04T00:57:35|00:00:04|cpu=8,gres/gpu=8,mem=3084084M,node=1|13324K|00:00.027
