JobID|JobName|State|ExitCode|Start|End
196|miles-ppo-terminal-lego|RUNNING|0:0|2026-09-04T00:55:37|Unknown
196.batch|batch|RUNNING|0:0|2026-09-04T00:55:37|Unknown
196.0|python3|COMPLETED|0:0|2026-09-04T00:55:38|2026-09-04T00:55:43
196.1|python3|RUNNING|0:0|2026-09-04T00:55:43|Unknown
196.2|python3|RUNNING|0:0|2026-09-04T00:55:43|Unknown
196.3|docker|COMPLETED|0:0|2026-09-04T00:55:43|2026-09-04T00:55:44
196.4|docker|COMPLETED|0:0|2026-09-04T00:55:44|2026-09-04T00:55:44
196.5|docker|COMPLETED|0:0|2026-09-04T00:55:44|2026-09-04T00:55:45
196.6|docker|COMPLETED|0:0|2026-09-04T00:55:45|2026-09-04T00:55:45
196.7|docker|COMPLETED|0:0|2026-09-04T00:55:45|2026-09-04T00:55:46
196.8|docker|COMPLETED|0:0|2026-09-04T00:55:46|2026-09-04T00:55:46
196.9|docker|COMPLETED|0:0|2026-09-04T00:55:46|2026-09-04T00:55:47
196.10|docker|COMPLETED|0:0|2026-09-04T00:55:47|2026-09-04T00:55:47
196.11|docker|COMPLETED|0:0|2026-09-04T00:55:47|2026-09-04T00:56:08
196.12|docker|COMPLETED|0:0|2026-09-04T00:56:08|2026-09-04T00:56:08
196.13|docker|COMPLETED|0:0|2026-09-04T00:56:08|2026-09-04T00:56:37
196.14|docker|COMPLETED|0:0|2026-09-04T00:56:37|2026-09-04T00:57:13
196.15|env|COMPLETED|0:0|2026-09-04T00:57:13|2026-09-04T00:57:20
196.16|env|RUNNING|0:0|2026-09-04T00:57:20|Unknown
196.17|python3|RUNNING|0:0|2026-09-04T00:57:26|Unknown
196.18|docker|COMPLETED|0:0|2026-09-04T00:57:26|2026-09-04T00:57:31
196.19|docker|COMPLETED|0:0|2026-09-04T00:57:31|2026-09-04T00:57:35
196.20|docker|COMPLETED|0:0|2026-09-04T00:57:35|2026-09-04T00:57:38
196.21|docker|COMPLETED|0:0|2026-09-04T00:57:38|2026-09-04T00:57:42
196.22|docker|COMPLETED|0:0|2026-09-04T00:57:42|2026-09-04T00:57:43
196.23|docker|RUNNING|0:0|2026-09-04T00:57:43|Unknown
