JobID|JobName|State|ExitCode|Start|End|Elapsed|AllocTRES|MaxRSS|TotalCPU
197|miles-async-ppo-terminal-lego|RUNNING|0:0|2026-09-04T01:13:58|Unknown|00:19:45|billing=1024,cpu=1024,gres/gpu=32,mem=12336349M,node=4||28:29.258
197.batch|batch|RUNNING|0:0|2026-09-04T01:13:58|Unknown|00:19:45|cpu=256,gres/gpu=8,mem=3084090M,node=1||00:00:00
197.0|python3|COMPLETED|0:0|2026-09-04T01:13:59|2026-09-04T01:13:59|00:00:00|cpu=8,gres/gpu=8,mem=3084091M,node=1|23296K|00:00.095
197.1|python3|COMPLETED|0:0|2026-09-04T01:13:59|2026-09-04T01:13:59|00:00:00|cpu=8,gres/gpu=8,mem=3084084M,node=1|23472K|00:00.100
197.2|python3|COMPLETED|0:0|2026-09-04T01:13:59|2026-09-04T01:13:59|00:00:00|cpu=8,gres/gpu=8,mem=3084090M,node=1|23240K|00:00.086
197.3|python3|COMPLETED|0:0|2026-09-04T01:13:59|2026-09-04T01:13:59|00:00:00|cpu=8,gres/gpu=8,mem=3084084M,node=1|23316K|00:00.088
197.4|python3|COMPLETED|0:0|2026-09-04T01:14:00|2026-09-04T01:14:04|00:00:04|cpu=1024,gres/gpu=32,mem=12336349M,node=4|62184K|00:15.296
197.5|python3|CANCELLED by 0|0:9|2026-09-04T01:14:04|2026-09-04T01:33:36|00:19:32|cpu=1024,gres/gpu=32,mem=12336349M,node=4|54228K|13:50.031
197.6|python3|CANCELLED by 0|0:9|2026-09-04T01:14:04|2026-09-04T01:33:37|00:19:33|cpu=1024,gres/gpu=32,mem=12336349M,node=4|27616K|07:10.800
197.7|docker|COMPLETED|0:0|2026-09-04T01:14:04|2026-09-04T01:14:05|00:00:01|cpu=8,gres/gpu=8,mem=3084091M,node=1|14024K|00:00.029
197.8|docker|COMPLETED|0:0|2026-09-04T01:14:05|2026-09-04T01:14:06|00:00:01|cpu=8,gres/gpu=8,mem=3084091M,node=1|12448K|00:00.025
197.9|docker|COMPLETED|0:0|2026-09-04T01:14:06|2026-09-04T01:14:06|00:00:00|cpu=8,gres/gpu=8,mem=3084084M,node=1|13076K|00:00.032
197.10|docker|COMPLETED|0:0|2026-09-04T01:14:06|2026-09-04T01:14:07|00:00:01|cpu=8,gres/gpu=8,mem=3084084M,node=1|13600K|00:00.028
197.11|docker|COMPLETED|0:0|2026-09-04T01:14:07|2026-09-04T01:14:08|00:00:01|cpu=8,gres/gpu=8,mem=3084090M,node=1|13328K|00:00.030
197.12|docker|COMPLETED|0:0|2026-09-04T01:14:08|2026-09-04T01:14:08|00:00:00|cpu=8,gres/gpu=8,mem=3084090M,node=1|13296K|00:00.030
197.13|docker|COMPLETED|0:0|2026-09-04T01:14:08|2026-09-04T01:14:09|00:00:01|cpu=8,gres/gpu=8,mem=3084084M,node=1|12780K|00:00.030
197.14|docker|COMPLETED|0:0|2026-09-04T01:14:09|2026-09-04T01:14:09|00:00:00|cpu=8,gres/gpu=8,mem=3084084M,node=1|13772K|00:00.036
197.15|docker|COMPLETED|0:0|2026-09-04T01:14:09|2026-09-04T01:14:29|00:00:20|cpu=8,gres/gpu=8,mem=3084091M,node=1|13328K|00:00.025
197.16|docker|COMPLETED|0:0|2026-09-04T01:14:29|2026-09-04T01:14:29|00:00:00|cpu=8,gres/gpu=8,mem=3084091M,node=1|13316K|00:00.029
197.17|docker|COMPLETED|0:0|2026-09-04T01:14:29|2026-09-04T01:14:29|00:00:00|cpu=8,gres/gpu=8,mem=3084091M,node=1|13596K|00:00.025
197.18|docker|COMPLETED|0:0|2026-09-04T01:14:29|2026-09-04T01:14:39|00:00:10|cpu=8,gres/gpu=8,mem=3084091M,node=1|14544K|00:00.030
197.19|docker|COMPLETED|0:0|2026-09-04T01:14:39|2026-09-04T01:15:09|00:00:30|cpu=8,gres/gpu=8,mem=3084091M,node=1|13840K|00:00.043
197.20|docker|COMPLETED|0:0|2026-09-04T01:15:09|2026-09-04T01:15:46|00:00:37|cpu=8,gres/gpu=8,mem=3084091M,node=1|13256K|00:00.028
197.21|env|COMPLETED|0:0|2026-09-04T01:15:46|2026-09-04T01:15:53|00:00:07|cpu=8,gres/gpu=8,mem=3084084M,node=1|482560K|00:10.096
197.22|env|CANCELLED by 0|0:9|2026-09-04T01:15:53|2026-09-04T01:33:35|00:17:42|cpu=8,gres/gpu=8,mem=3084084M,node=1|1035164K|00:51.786
197.23|python3|CANCELLED by 0|0:9|2026-09-04T01:15:59|2026-09-04T01:33:36|00:17:37|cpu=1024,gres/gpu=32,mem=12336349M,node=4|20456K|05:54.044
197.24|docker|COMPLETED|0:0|2026-09-04T01:15:59|2026-09-04T01:16:04|00:00:05|cpu=8,gres/gpu=8,mem=3084091M,node=1|13760K|00:00.034
197.25|docker|COMPLETED|0:0|2026-09-04T01:16:04|2026-09-04T01:16:07|00:00:03|cpu=8,gres/gpu=8,mem=3084084M,node=1|13724K|00:00.029
197.26|docker|COMPLETED|0:0|2026-09-04T01:16:07|2026-09-04T01:16:11|00:00:04|cpu=8,gres/gpu=8,mem=3084090M,node=1|13212K|00:00.029
